time_ms,X,Y,Z,v
1698.7949189380424,107.0,223.0,7.859222674481992,43.366765902874675
1718.780741513784,107.0,223.0,8.765425561893654,47.363930418022946
1738.766564089526,107.0,223.0,9.751943099764272,51.36109493317129
1758.7523866652677,107.0,223.0,10.818619082112669,55.35825944831965
1778.7382092410094,107.0,223.0,11.964620418993627,59.303751830062595
1798.724031816751,107.0,223.0,13.109719050691643,55.30658731491426
1818.7098543924926,107.0,223.0,14.175230371274832,51.30942279976598
1838.6956769682342,107.0,223.0,15.160841287105095,47.31225828461764
1858.681499543976,107.0,223.0,16.065978943108146,43.31509376946938
1878.6673221197177,107.0,223.0,16.891687107435335,39.317929254321015
1898.6531446954593,107.0,223.0,17.637333483481505,35.32076473917269
1918.638967271201,107.0,223.0,18.303294173033795,31.323600224024332
1938.6247898469426,107.0,223.0,18.888982761725856,27.326435708875973
1958.6106124226842,107.0,223.0,19.395173034748957,23.329271193727656
1978.596434998426,107.0,223.0,19.82378933214207,20.0
1998.5822575741677,107.0,223.0,20.2235057836569,20.0
2018.5680801499095,107.0,223.0,20.623222235171745,20.0
2038.553902725651,107.0,222.99802272897125,21.022909034291434,20.0
2058.539725301393,107.0,222.9531895422946,21.419178650056708,20.0
2078.525547877134,107.0,222.83137782264154,21.798848050943317,20.0
2098.5113704528762,107.0,222.6360092962705,22.14652961020494,20.0
2118.4971930286174,107.0,222.37553879740565,22.44850518605604,20.0
2138.4830156043595,107.0,222.06043775000066,22.692871579941464,20.0
2158.468838180101,107.0,221.7031006063743,22.869943171285296,20.0
2178.4546607558427,107.0,221.31763100763558,22.972148892315758,20.0
2198.4404833315843,107.0,220.91944992797636,23.0,20.0
2218.426305907326,107.0,220.5197334764615,23.0,20.0
2238.412128483068,107.0,220.1200170249467,23.0,20.0
2258.3979510588097,107.0,219.7172129513269,23.0,20.646994265681492
2278.3837736345513,107.0,219.26506140403671,23.0,24.644158780829866
2298.369596210293,107.0,218.73327355043696,23.000258632247817,28.64132329597813
2318.3554187860345,107.0,218.12102251258474,23.002319887437075,32.63848781112641
2338.341241361776,107.0,217.42906620384653,23.005779668980768,36.63565232627475
2358.3270639375182,107.0,216.6569329703729,23.013921005444406,40.63281684142312
2378.3128865132594,107.0,215.80543317797054,23.029489170550736,44.62998135657149
2398.2987090890015,107.0,214.87370344302676,23.056895379494062,48.627145871719954
2418.2845316647426,107.0,213.8631731246366,23.105406645750556,52.624310386868274
2438.2703542404847,107.0,212.77456640207987,23.183305551570662,56.62147490201673
2458.256176816226,107.0,211.60914038019962,23.302473592199032,60.618639417165035
2478.241999391968,107.0,210.3690359609246,23.470752127132638,64.61580393231341
2498.2278219677096,107.0,209.05621148874206,23.69147911880856,68.61296844746165
2518.213644543451,107.0,207.6716040008182,23.96389916309415,72.61013296261007
2538.199467119193,107.0,206.2149220672804,24.282812456613648,76.60729747775841
2558.1852896949345,107.0,204.6853726592943,24.641033256477787,80.60446199290675
2578.1711122706765,107.0,203.08202880975406,25.034508335730955,84.60162650805526
2598.156934846418,107.0,201.4039218150514,25.457859228303015,88.5987910232035
2618.14275742216,107.0,199.65027189190744,25.908692811364062,92.595955538352
2638.1285799979014,107.0,197.82025458661698,26.3833776838616,96.5931200535003
2658.114402573643,107.0,195.9139691203095,26.878193684867092,100.0
2678.1002251493846,107.0,193.9790095895422,27.37845113671593,100.0
2698.0860477251267,107.0,192.04272682633317,27.873548378915846,100.0
2718.071870300868,107.0,190.10471939685877,28.361842623457626,100.0
2738.05769287661,107.0,188.16403764321555,28.839406118593097,100.0
2758.043515452351,107.0,186.22049434756235,29.305170564164783,100.0
2778.029338028093,107.0,184.27330655695147,29.755444923148897,100.0
2798.0151606038344,107.0,182.32228630934176,30.18881525644947,100.0
2818.0009831795765,107.0,180.36661743163435,30.600693860177564,100.0
2837.986805755318,107.0,178.4061756166263,30.989180214136173,100.0
2857.9726283310597,107.0,176.44023035317005,31.348767350214306,100.0
2877.9584509068013,107.0,174.4683700329808,31.674310752412094,100.0
2897.944273482543,107.0,172.49036400266678,31.96006331278113,100.0
2917.930096058285,107.0,170.50594666941686,32.197025728353,100.0
2937.9159186340266,107.0,168.51542561185732,32.37524643936682,100.0
2957.9017412097683,107.0,166.51969737871326,32.4791990786386,100.0
2977.88756378551,107.0,164.52149920307164,32.517450015938564,100.0
2997.8733863612515,107.0,162.5232228824422,32.55206165676337,100.0
3017.859208936993,107.0,160.52495290392818,32.58703570644108,100.0
3037.845031512735,107.0,158.5266831509286,32.622024752736074,100.0
3057.8308540884764,107.0,156.52841317241456,32.65699880241378,100.0
3077.8166766642184,107.0,154.5301431939005,32.691972852091496,100.0
3097.8024992399596,107.0,152.53187321538644,32.7269469017692,100.0
3117.7883218157017,107.0,150.5335914263717,32.761248171472566,100.0
3137.774144391443,107.0,148.53532129653468,32.796213574069306,100.0
3157.759966967185,107.0,146.53705116669764,32.831178976666045,100.0
3177.7457895429266,107.0,144.5387814377049,32.8661643712459,100.0
3197.731612118668,107.0,142.54051130786783,32.90112977384264,100.0
3217.7174346944103,107.0,140.5422363879212,32.93582145418119,100.0
3237.7032572701514,107.0,138.54396672281,32.97081049915785,100.0
3257.6890798458935,107.0,136.54569674429592,33.005784548835564,100.0
3277.674902421635,107.0,134.5474267657819,33.04075859851327,100.0
3297.6607249973767,107.0,132.54915684261874,33.07573632900575,100.0
3317.6465475731184,107.0,130.5508737488857,33.10996252502229,100.0
3337.63237014886,107.0,128.55260361904865,33.14492792761903,100.0
3357.6181927246016,107.0,126.5543334892117,33.17989333021577,100.0
3377.6040153003437,107.0,124.55606376021903,33.21487872479562,100.0
3397.589837876085,107.0,122.55779363038212,33.24984412739236,100.0
3417.575660451827,107.0,120.55951995980301,33.284607200602956,100.0
