X,Y,Z,C,
166.823,-168.25,3398.8,90,
166.823,-168.25,3399,90,
166.823,-168.25,3399.2,90,
166.823,-168.25,3399.4,90,
166.823,-168.25,3399.6,90,
166.823,-168.25,3399.8,90,
166.823,-168.25,3400,90,
166.823,-168.25,3400.2,90,
166.823,-168.25,3400.4,90,
166.823,-168.25,3400.6,90,
166.823,-168.25,3400.8,90,
166.823,-168.25,3401,90,
166.823,-168.25,3401.2,90,
166.823,-168.25,3401.4,90,
166.823,-168.25,3401.6,90,
166.823,-168.25,3401.8,90,
166.823,-168.25,3402,90,
166.823,-168.25,3402.2,90,
166.823,-168.25,3402.4,90,
166.823,-168.25,3402.6,90,
166.823,-168.25,3402.8,90,
166.823,-168.25,3403,90,
166.823,-168.25,3403.2,90,
166.823,-168.25,3403.4,90,
166.823,-168.25,3403.6,90,
166.823,-168.25,3403.8,90,
166.823,-168.25,3404,90,
166.823,-168.25,3404.2,90,
166.823,-168.25,3404.4,90,
166.823,-168.25,3404.6,90,
166.823,-168.25,3404.8,90,
166.823,-168.25,3405,90,
166.823,-168.25,3405.2,90,
166.823,-168.25,3405.4,90,
166.823,-168.25,3405.6,90,
166.823,-168.25,3405.8,90,
166.823,-168.25,3406,90,
166.823,-168.25,3406.2,90,
166.823,-168.25,3406.4,90,
166.823,-168.25,3406.6,90,
166.823,-168.25,3406.8,90,
166.823,-168.25,3407,90,
166.823,-168.25,3407.2,90,
166.823,-168.25,3407.4,90,
166.823,-168.25,3407.6,90,
166.823,-168.25,3407.8,90,
166.823,-168.25,3408,90,
166.823,-168.25,3408.2,90,
166.823,-168.25,3408.4,90,
166.823,-168.25,3408.6,90,
166.823,-168.25,3408.8,90,
166.823,-168.25,3409,90,
166.823,-168.25,3409.2,90,
166.823,-168.25,3409.4,90,
166.823,-168.25,3409.6,90,
166.823,-168.25,3409.8,90,
166.823,-168.25,3410,90,
166.823,-168.25,3410.2,90,
166.823,-168.25,3410.4,90,
166.823,-168.25,3410.6,90,
166.823,-168.25,3410.8,90,
166.823,-168.25,3411,90,
166.823,-168.25,3411.2,90,
166.823,-168.25,3411.4,90,
166.823,-168.25,3411.6,90,
166.823,-168.25,3411.8,90,
166.823,-168.25,3412,90,
166.823,-168.25,3412.2,90,
166.823,-168.25,3412.4,90,
166.823,-168.25,3412.6,90,
166.823,-168.25,3412.8,90,
166.823,-168.25,3413,90,
166.823,-168.25,3413.2,90,
166.823,-168.25,3413.4,90,
166.823,-168.25,3413.6,90,
166.823,-168.25,3413.8,90,
166.823,-168.25,3414,90,
166.823,-168.25,3414.2,90,
166.823,-168.25,3414.4,90,
166.823,-168.25,3414.6,90,
166.823,-168.25,3414.8,90,
166.823,-168.25,3415,90,
166.823,-168.25,3415.2,90,
166.823,-168.25,3415.4,90,
166.823,-168.25,3415.6,90,
166.823,-168.25,3415.8,90,
166.823,-168.25,3416,90,
166.823,-168.25,3416.2,90,
166.823,-168.25,3416.4,90,
166.823,-168.25,3416.6,90,
166.823,-168.25,3416.8,90,
166.823,-168.25,3417,90,
166.823,-168.25,3417.2,90,
166.823,-168.25,3417.4,90,
166.823,-168.25,3417.6,90,
166.823,-168.25,3417.8,90,
166.823,-168.25,3418,90,
166.823,-168.25,3418.2,90,
166.823,-168.25,3418.4,90,
166.823,-168.25,3418.6,90,
166.823,-168.25,3418.8,90,
166.823,-168.25,3419,90,
166.823,-168.25,3419.2,90,
166.823,-168.25,3419.4,90,
166.823,-168.25,3419.6,90,
166.823,-168.25,3419.8,90,
166.823,-168.25,3420,90,
166.823,-168.25,3420.2,90,
166.823,-168.25,3420.4,90,
166.823,-168.25,3420.6,90,
166.823,-168.25,3420.8,90,
166.823,-168.25,3421,90,
166.823,-168.25,3421.2,90,
166.823,-168.25,3421.4,90,
166.823,-168.25,3421.6,90,
166.823,-168.25,3421.8,90,
166.823,-168.25,3422,90,
166.823,-168.25,3422.2,90,
166.823,-168.25,3422.4,90,
166.823,-168.25,3422.6,90,
166.823,-168.25,3422.8,90,
166.823,-168.25,3423,90,
166.823,-168.25,3423.2,90,
166.823,-168.25,3423.4,90,
166.823,-168.25,3423.6,90,
166.823,-168.25,3423.8,90,
166.823,-168.25,3424,90,
166.823,-168.25,3424.2,90,
166.823,-168.25,3424.4,90,
166.823,-168.25,3424.6,90,
166.823,-168.25,3424.8,90,
166.823,-168.25,3425,90,
166.823,-168.25,3425.2,90,
166.823,-168.25,3425.4,90,
166.823,-168.25,3425.6,90,
166.823,-168.25,3425.8,90,
166.823,-168.25,3426,90,
166.823,-168.25,3426.2,90,
166.823,-168.25,3426.4,90,
166.823,-168.25,3426.6,90,
166.823,-168.25,3426.8,90,
166.823,-168.25,3427,90,
166.823,-168.25,3427.2,90,
166.823,-168.25,3427.4,90,
166.823,-168.25,3427.6,90,
166.823,-168.25,3427.8,90,
166.823,-168.25,3428,90,
166.823,-168.25,3428.2,90,
166.823,-168.25,3428.4,90,
166.823,-168.25,3428.6,90,
166.823,-168.25,3428.8,90,
166.823,-168.25,3429,90,
166.823,-168.25,3429.2,90,
166.823,-168.25,3429.4,90,
166.823,-168.25,3429.6,90,
166.823,-168.25,3429.8,90,
166.823,-168.25,3430,90,
166.823,-168.25,3430.2,90,
166.823,-168.25,3430.4,90,
166.823,-168.25,3430.6,90,
166.823,-168.25,3430.8,90,
166.823,-168.25,3431,90,
166.823,-168.25,3431.2,90,
166.823,-168.25,3431.4,90,
166.823,-168.25,3431.6,90,
166.823,-168.25,3431.8,90,
166.823,-168.25,3432,90,
166.823,-168.25,3432.2,90,
166.823,-168.25,3432.4,90,
166.823,-168.25,3432.6,90,
166.823,-168.25,3432.8,90,
166.823,-168.25,3433,90,
166.823,-168.25,3433.2,90,
166.823,-168.25,3433.4,90,
166.823,-168.25,3433.6,90,
166.823,-168.25,3433.8,90,
166.823,-168.25,3434,90,
166.823,-168.25,3434.2,90,
166.823,-168.25,3434.4,90,
166.823,-168.25,3434.6,90,
166.823,-168.25,3434.8,90,
166.823,-168.25,3435,90,
166.823,-168.25,3435.2,90,
166.823,-168.25,3435.4,90,
166.823,-168.25,3435.6,90,
166.823,-168.25,3435.8,90,
166.823,-168.25,3436,90,
166.823,-168.25,3436.2,90,
166.823,-168.25,3436.4,90,
166.823,-168.25,3436.6,90,
166.823,-168.25,3436.8,90,
166.823,-168.25,3437,90,
166.823,-168.25,3437.2,90,
166.823,-168.25,3437.4,90,
166.823,-168.25,3437.6,90,
166.823,-168.25,3437.8,90,
166.823,-168.25,3438,90,
166.823,-168.25,3438.2,90,
166.823,-168.25,3438.4,90,
166.823,-168.25,3438.6,90,
166.823,-168.25,3438.8,90,
166.823,-168.25,3439,90,
166.823,-168.25,3439.2,90,
166.823,-168.25,3439.4,90,
166.823,-168.25,3439.6,90,
166.823,-168.25,3439.8,90,
166.823,-168.25,3440,90,
166.823,-168.25,3440.2,90,
166.823,-168.25,3440.4,90,
166.823,-168.25,3440.6,90,
166.823,-168.25,3440.8,90,
166.823,-168.25,3441,90,
166.823,-168.25,3441.2,90,
166.823,-168.25,3441.4,90,
166.823,-168.25,3441.6,90,
166.823,-168.25,3441.8,90,
166.823,-168.25,3442,90,
166.823,-168.25,3442.2,90,
166.823,-168.25,3442.4,90,
166.823,-168.25,3442.6,90,
166.823,-168.25,3442.8,90,
166.823,-168.25,3443,90,
166.823,-168.25,3443.2,90,
166.823,-168.25,3443.4,90,
166.823,-168.25,3443.6,90,
166.823,-168.25,3443.8,90,
166.823,-168.25,3444,90,
166.823,-168.25,3444.2,90,
166.823,-168.25,3444.4,90,
166.823,-168.25,3444.6,90,
166.823,-168.25,3444.8,90,
166.823,-168.25,3445,90,
166.823,-168.25,3445.2,90,
166.823,-168.25,3445.4,90,
166.823,-168.25,3445.6,90,
166.823,-168.25,3445.8,90,
166.823,-168.25,3446,90,
166.823,-168.25,3446.2,90,
166.823,-168.25,3446.4,90,
166.823,-168.25,3446.6,90,
166.823,-168.25,3446.8,90,
166.823,-168.25,3447,90,
166.823,-168.25,3447.2,90,
166.823,-168.25,3447.4,90,
166.823,-168.25,3447.6,90,
166.823,-168.25,3447.8,90,
166.823,-168.25,3448,90,
166.823,-168.25,3448.2,90,
166.823,-168.25,3448.4,90,
166.823,-168.25,3448.6,90,
166.823,-168.25,3448.8,90,
166.823,-168.25,3449,90,
166.823,-168.25,3449.2,90,
166.823,-168.25,3449.4,90,
