time_s,s_mm,v_mm_s,X,Y,Z,dangerous
3.5,252.5,100.0,107.0,60.30356172100946,34.33650657418486,0.0
3.5500000000000003,257.5,100.0,107.0,65.3027803304984,34.24900439339004,0.0
3.6,262.5,100.0,107.0,70.3020080493848,34.1620198390123,0.0
3.6500000000000004,267.5,100.0,107.0,75.30122664077393,34.07451160038839,0.0
3.7,272.5,100.0,107.0,80.3004540665844,33.98750818900123,0.0
3.75,277.5,100.0,107.0,85.29967268548972,33.900006546290214,0.0
3.8000000000000003,282.42803138477683,98.56062769553621,107.0,90.22694617891895,33.81446107642162,0.0
3.85,287.2435627695536,96.31062769553621,107.0,95.04172427054587,33.73014551458908,0.0
3.9000000000000004,291.9465941543304,94.0606276955362,107.0,99.74402494286822,33.64807950114263,0.0
3.95,296.5371255391072,91.81062769553621,107.0,104.33384249681085,33.56794736254784,0.0
4.0,301.015156923884,89.56062769553623,107.0,108.81117774038698,33.48978733389419,0.0
4.05,305.3806883086608,87.31062769553623,107.0,113.17602707039428,33.41339945859211,0.0
4.1000000000000005,309.63371969343757,85.0606276955362,107.0,117.42840022320705,33.339331995535865,0.0
4.15,313.7742510782144,82.8106276955362,107.0,121.56829384484703,33.2674005923273,0.0
4.2,317.8022824629912,80.56062769553621,107.00000000000001,125.59569682647773,33.19696606347045,0.0
4.25,321.71781384776796,78.31062769553623,107.0,129.51061298316992,33.128250805252456,0.0
4.3,325.5208452325448,76.06062769553623,107.0,133.31305891588545,33.06219911626172,0.0
4.3500000000000005,329.21137661732155,73.8106276955362,107.0,137.00301645170902,32.99777967096582,0.0
4.4,332.78940800209836,71.5606276955362,107.0,140.5803222946892,32.928408719685876,0.0
4.45,336.25493938687515,69.31062769553621,107.0,144.0316636744219,32.627224283532584,0.0
4.5,339.60797077165194,67.06062769553623,107.0,147.34712653631607,32.12877003941754,0.0
4.55,342.84850215642876,64.81062769553623,107.0,150.53203724024885,31.53164054913416,0.0
4.6000000000000005,345.9765335412055,62.5606276955362,107.0,153.59228437914845,30.88422959844419,0.0
4.65,348.99206492598233,60.310627695536205,107.0,156.53188897286867,30.21192323323733,0.0
4.7,351.89509631075913,58.06062769553621,107.0,159.35436382830903,29.532865464275645,0.0
4.75,354.6856276955359,55.81062769553622,107.0,162.06211452273666,28.858259733947953,0.0
4.800000000000001,357.36365908031274,53.56062769553618,107.0,164.6572800350427,28.197253876931942,0.0
4.8500000000000005,359.9291904650895,51.3106276955362,107.0,167.14120817727596,27.555347334839826,0.0
