X,Y,Z,C,
166.823,-168.25,3339.6,0,
166.823,-168.25,3339.8,0,
166.823,-168.25,3340,0,
166.823,-168.25,3340.2,0,
166.823,-168.25,3340.4,0,
166.823,-168.25,3340.6,0,
166.823,-168.25,3340.8,0,
166.823,-168.25,3341,0,
166.823,-168.25,3341.2,0,
166.823,-168.25,3341.4,0,
166.823,-168.25,3341.6,0,
166.823,-168.25,3341.8,0,
166.823,-168.25,3342,0,
166.823,-168.25,3342.2,0,
166.823,-168.25,3342.4,0,
166.823,-168.25,3342.6,0,
166.823,-168.25,3342.8,0,
166.823,-168.25,3343,0,
166.823,-168.25,3343.2,0,
166.823,-168.25,3343.4,0,
166.823,-168.25,3343.6,0,
166.823,-168.25,3343.8,0,
166.823,-168.25,3344,0,
166.823,-168.25,3344.2,0,
166.823,-168.25,3344.4,0,
166.823,-168.25,3344.6,0,
166.823,-168.25,3344.8,0,
166.823,-168.25,3345,0,
166.823,-168.25,3345.2,0,
166.823,-168.25,3345.4,0,
166.823,-168.25,3345.6,0,
166.823,-168.25,3345.8,0,
166.823,-168.25,3346,0,
166.823,-168.25,3346.2,0,
166.823,-168.25,3346.4,0,
166.823,-168.25,3346.6,0,
166.823,-168.25,3346.8,0,
166.823,-168.25,3347,0,
166.823,-168.25,3347.2,0,
166.823,-168.25,3347.4,0,
166.823,-168.25,3347.6,0,
166.823,-168.25,3347.8,0,
166.823,-168.25,3348,0,
166.823,-168.25,3348.2,0,
166.823,-168.25,3348.4,0,
166.823,-168.25,3348.6,0,
166.823,-168.25,3348.8,0,
166.823,-168.25,3349,0,
166.823,-168.25,3349.2,0,
166.823,-168.25,3349.4,0,
166.823,-168.25,3349.6,0,
166.823,-168.25,3349.8,0,
166.823,-168.25,3350,0,
166.823,-168.25,3350.2,0,
166.823,-168.25,3350.4,0,
166.823,-168.25,3350.6,0,
166.823,-168.25,3350.8,0,
166.823,-168.25,3351,0,
166.823,-168.25,3351.2,0,
166.823,-168.25,3351.4,0,
166.823,-168.25,3351.6,0,
166.823,-168.25,3351.8,0,
166.823,-168.25,3352,0,
166.823,-168.25,3352.2,0,
166.823,-168.25,3352.4,0,
166.823,-168.25,3352.6,0,
166.823,-168.25,3352.8,0,
166.823,-168.25,3353,0,
166.823,-168.25,3353.2,0,
166.823,-168.25,3353.4,0,
166.823,-168.25,3353.6,0,
166.823,-168.25,3353.8,0,
166.823,-168.25,3354,0,
166.823,-168.25,3354.2,0,
166.823,-168.25,3354.4,0,
166.823,-168.25,3354.6,0,
166.823,-168.25,3354.8,0,
166.823,-168.25,3355,0,
166.823,-168.25,3355.2,0,
166.823,-168.25,3355.4,0,
166.823,-168.25,3355.6,0,
166.823,-168.25,3355.8,0,
166.823,-168.25,3356,0,
166.823,-168.25,3356.2,0,
166.823,-168.25,3356.4,0,
166.823,-168.25,3356.6,0,
166.823,-168.25,3356.8,0,
166.823,-168.25,3357,0,
166.823,-168.25,3357.2,0,
166.823,-168.25,3357.4,0,
166.823,-168.25,3357.6,0,
166.823,-168.25,3357.8,0,
166.823,-168.25,3358,0,
166.823,-168.25,3358.2,0,
166.823,-168.25,3358.4,0,
166.823,-168.25,3358.6,0,
166.823,-168.25,3358.8,0,
166.823,-168.25,3359,0,
166.823,-168.25,3359.2,0,
166.823,-168.25,3359.4,0,
166.823,-168.25,3359.6,0,
166.823,-168.25,3359.8,0,
166.823,-168.25,3360,0,
166.823,-168.25,3360.2,0,
166.823,-168.25,3360.4,0,
166.823,-168.25,3360.6,0,
166.823,-168.25,3360.8,0,
166.823,-168.25,3361,0,
166.823,-168.25,3361.2,0,
166.823,-168.25,3361.4,0,
166.823,-168.25,3361.6,0,
166.823,-168.25,3361.8,0,
166.823,-168.25,3362,0,
