p1,v1,p2,v2,p3,v3,p4,v4,dt
360.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,50
360.0,0.0,0.0,0.31377968880548224,0.0,-7.819327490976491,-0.0,-6.562499999999716,50
360.0,0.0,0.015688984440274112,1.0194262898707507,-0.39096637454882455,-23.39680884963542,-0.3281249999999858,-19.68750000000057,50
360.0,0.0,0.06666029893381165,1.956180754170589,-1.5608068170305955,-38.794217921109464,-1.3125000000000142,-32.8125,50
360.0,0.0,0.1644693366423411,3.267892873817857,-3.5005177130860687,-53.90273291646821,-2.953125000000014,-45.93749999999943,50
360.0,0.0,0.32786398033323394,5.084059134149754,-6.195654358909479,-68.62946744195852,-5.249999999999986,-59.062500000000284,50
360.0,0.0,0.5820669370407217,7.515914479482433,-9.627127731007405,-82.90216219913162,-8.203125,-72.18749999999972,50
360.0,0.0,0.9578626610148433,10.654085808644709,-13.772235840963987,-96.67246525647784,-11.812499999999986,-85.31250000000057,50
360.0,0.0,1.4905669514470787,14.567922033602088,-18.60585910378788,-109.91773164642638,-16.078125000000014,-98.4375,50
360.0,0.0,2.218963053127183,19.306451261147117,-24.101745686109197,-122.64144437745301,-21.000000000000014,-111.56249999999943,50
360.0,0.0,3.184285616184539,24.90078457043836,-30.233817904981848,-134.87250382357416,-26.578124999999986,-124.68750000000028,50
360.0,0.0,4.429324844706457,31.36770457594764,-36.977443096160556,-146.66373713950378,-32.8125,-137.81249999999972,50
360.0,0.0,5.997710073503839,38.7141525605287,-44.310629953135745,-158.09004069165695,-39.703124999999986,-150.93750000000057,50
360.0,0.0,7.933417701530274,46.94235928787549,-52.21513198771859,-169.24659351614224,-47.250000000000014,-164.0625,50
360.0,0.0,10.280535665924049,56.05544570148879,-60.677461663525705,-180.2475839251926,-55.453125000000014,-177.18749999999943,50
360.0,0.0,13.083307950998488,66.06344453371662,-69.68984085978533,-191.22589648212482,-64.31249999999999,-190.31250000000028,50
360.0,0.0,16.38648017768432,76.9898617428268,-79.25113568389158,-202.334240530314,-73.828125,-203.43749999999972,50
360.0,0.0,20.23597326482566,88.87911909554873,-89.36784771040728,-213.74830081258125,-83.99999999999999,-216.56250000000057,50
360.0,0.0,24.679929219603096,101.8055292919314,-100.05526275103634,-225.67270903463424,-94.82812500000001,-229.68749999999972,50
360.0,0.0,29.770205684199667,115.88492516685704,-111.33889820276805,-238.3510624702174,-106.3125,-242.8125,50
