X,Y,Z,C,,
166.823,-168.25,3310.2,90,,
166.823,-168.25,3310.4,90,,
166.823,-168.25,3310.6,90,,
166.823,-168.25,3310.8,90,,
166.823,-168.25,3311,90,,
166.823,-168.25,3311.2,90,,
166.823,-168.25,3311.4,90,,
166.823,-168.25,3311.6,90,,
166.823,-168.25,3311.8,90,,
166.823,-168.25,3312,90,,
166.823,-168.25,3312.2,90,,
166.823,-168.25,3312.4,90,,
166.823,-168.25,3312.6,90,,
166.823,-168.25,3312.8,90,,
166.823,-168.25,3313,90,,
166.823,-168.25,3313.2,90,,
166.823,-168.25,3313.4,90,,
166.823,-168.25,3313.6,90,,
166.823,-168.25,3313.8,90,,
166.823,-168.25,3314,90,,
166.823,-168.25,3314.2,90,,
166.823,-168.25,3314.4,90,,
166.823,-168.25,3314.6,90,,
166.823,-168.25,3314.8,90,,
166.823,-168.25,3315,90,,
166.823,-168.25,3315.2,90,,
166.823,-168.25,3315.4,90,,
166.823,-168.25,3315.6,90,,
166.823,-168.25,3315.8,90,,
166.823,-168.25,3316,90,,
166.823,-168.25,3316.2,90,,
166.823,-168.25,3316.4,90,,
166.823,-168.25,3316.6,90,,
166.823,-168.25,3316.8,90,,
166.823,-168.25,3317,90,,
166.823,-168.25,3317.2,90,,
166.823,-168.25,3317.4,90,,
166.823,-168.25,3317.6,90,,
166.823,-168.25,3317.8,90,,
166.823,-168.25,3318,90,,
166.823,-168.25,3318.2,90,,
166.823,-168.25,3318.4,90,,
166.823,-168.25,3318.6,90,,
166.823,-168.25,3318.8,90,,
166.823,-168.25,3319,90,,
166.823,-168.25,3319.2,90,,
166.823,-168.25,3319.4,90,,
166.823,-168.25,3319.6,90,,
166.823,-168.25,3319.8,90,,
166.823,-168.25,3320,90,,
166.823,-168.25,3320.2,90,,
166.823,-168.25,3320.4,90,,
166.823,-168.25,3320.6,90,,
166.823,-168.25,3320.8,90,,
166.823,-168.25,3321,90,,
166.823,-168.25,3321.2,90,,
166.823,-168.25,3321.4,90,,
166.823,-168.25,3321.6,90,,
166.823,-168.25,3321.8,90,,
166.823,-168.25,3322,90,,
166.823,-168.25,3322.2,90,,
166.823,-168.25,3322.4,90,,
166.823,-168.25,3322.6,90,,
166.823,-168.25,3322.8,90,,
166.823,-168.25,3323,90,,
166.823,-168.25,3323.2,90,,
166.823,-168.25,3323.4,90,,
166.823,-168.25,3323.6,90,,
166.823,-168.25,3323.8,90,,
166.823,-168.25,3324,90,,
166.823,-168.25,3324.2,90,,
166.823,-168.25,3324.4,90,,
166.823,-168.25,3324.6,90,,
166.823,-168.25,3324.8,90,,
166.823,-168.25,3325,90,,
166.823,-168.25,3325.2,90,,
166.823,-168.25,3325.4,90,,
166.823,-168.25,3325.6,90,,
166.823,-168.25,3325.8,90,,
166.823,-168.25,3326,90,,
166.823,-168.25,3326.2,90,,
166.823,-168.25,3326.4,90,,
166.823,-168.25,3326.6,90,,
166.823,-168.25,3326.8,90,,
166.823,-168.25,3327,90,,
166.823,-168.25,3327.2,90,,
166.823,-168.25,3327.4,90,,
166.823,-168.25,3327.6,90,,
166.823,-168.25,3327.8,90,,
166.823,-168.25,3328,90,,
166.823,-168.25,3328.2,90,,
166.823,-168.25,3328.4,90,,
166.823,-168.25,3328.6,90,,
166.823,-168.25,3328.8,90,,
166.823,-168.25,3329,90,,
166.823,-168.25,3329.2,90,,
166.823,-168.25,3329.4,90,,
166.823,-168.25,3329.6,90,,
166.823,-168.25,3329.8,90,,
166.823,-168.25,3330,90,,
166.823,-168.25,3330.2,90,,
166.823,-168.25,3330.4,90,,
166.823,-168.25,3330.6,90,,
166.823,-168.25,3330.8,90,,
166.823,-168.25,3331,90,,
166.823,-168.25,3331.2,90,,
166.823,-168.25,3331.4,90,,
166.823,-168.25,3331.6,90,,
166.823,-168.25,3331.8,90,,
166.823,-168.25,3332,90,,
166.823,-168.25,3332.2,90,,
166.823,-168.25,3332.4,90,,
166.823,-168.25,3332.6,90,,
166.823,-168.25,3332.8,90,,
166.823,-168.25,3333,90,,
166.823,-168.25,3333.2,90,,
166.823,-168.25,3333.4,90,,
166.823,-168.25,3333.6,90,,
166.823,-168.25,3333.8,90,,
166.823,-168.25,3334,90,,
166.823,-168.25,3334.2,90,,
166.823,-168.25,3334.4,90,,
166.823,-168.25,3334.6,90,,
166.823,-168.25,3334.8,90,,
166.823,-168.25,3335,90,,
166.823,-168.25,3335.2,90,,
166.823,-168.25,3335.4,90,,
166.823,-168.25,3335.6,90,,
166.823,-168.25,3335.8,90,,
166.823,-168.25,3336,90,,
166.823,-168.25,3336.2,90,,
166.823,-168.25,3336.4,90,,
166.823,-168.25,3336.6,90,,
166.823,-168.25,3336.8,90,,
166.823,-168.25,3337,90,,
166.823,-168.25,3337.2,90,,
166.823,-168.25,3337.4,90,,
166.823,-168.25,3337.6,90,,
166.823,-168.25,3337.8,90,,
166.823,-168.25,3338,90,,
166.823,-168.25,3338.2,90,,
166.823,-168.25,3338.4,90,,
166.823,-168.25,3338.6,90,,
166.823,-168.25,3338.8,90,,
166.823,-168.25,3339,90,,
166.823,-168.25,3339.2,90,,
166.823,-168.25,3339.4,90,,
166.823,-168.25,3339.6,90,,
166.823,-168.25,3339.8,90,,
166.823,-168.25,3340,90,,
166.823,-168.25,3340.2,90,,
166.823,-168.25,3340.4,90,,
166.823,-168.25,3340.6,90,,
166.823,-168.25,3340.8,90,,
166.823,-168.25,3341,90,,
166.823,-168.25,3341.2,90,,
166.823,-168.25,3341.4,90,,
166.823,-168.25,3341.6,90,,
166.823,-168.25,3341.8,90,,
166.823,-168.25,3342,90,,
166.823,-168.25,3342.2,90,,
166.823,-168.25,3342.4,90,,
166.823,-168.25,3342.6,90,,
166.823,-168.25,3342.8,90,,
166.823,-168.25,3343,90,,
166.823,-168.25,3343.2,90,,
166.823,-168.25,3343.4,90,,
166.823,-168.25,3343.6,90,,
166.823,-168.25,3343.8,90,,
166.823,-168.25,3344,90,,
166.823,-168.25,3344.2,90,,
166.823,-168.25,3344.4,90,,
166.823,-168.25,3344.6,90,,
166.823,-168.25,3344.8,90,,
166.823,-168.25,3345,90,,
166.823,-168.25,3345.2,90,,
166.823,-168.25,3345.4,90,,
166.823,-168.25,3345.6,90,,
166.823,-168.25,3345.8,90,,
166.823,-168.25,3346,90,,
166.823,-168.25,3346.2,90,,
166.823,-168.25,3346.4,90,,
166.823,-168.25,3346.6,90,,
166.823,-168.25,3346.8,90,,
166.823,-168.25,3347,90,,
166.823,-168.25,3347.2,90,,
166.823,-168.25,3347.4,90,,
166.823,-168.25,3347.6,90,,
166.823,-168.25,3347.8,90,,
166.823,-168.25,3348,90,,
166.823,-168.25,3348.2,90,,
166.823,-168.25,3348.4,90,,
166.823,-168.25,3348.6,90,,
166.823,-168.25,3348.8,90,,
166.823,-168.25,3349,90,,
166.823,-168.25,3349.2,90,,
166.823,-168.25,3349.4,90,,
166.823,-168.25,3349.6,90,,
166.823,-168.25,3349.8,90,,
166.823,-168.25,3350,90,,
166.823,-168.25,3350.2,90,,
166.823,-168.25,3350.4,90,,
166.823,-168.25,3350.6,90,,
166.823,-168.25,3350.8,90,,
166.823,-168.25,3351,90,,
166.823,-168.25,3351.2,90,,
166.823,-168.25,3351.4,90,,
166.823,-168.25,3351.6,90,,
166.823,-168.25,3351.8,90,,
166.823,-168.25,3352,90,,
166.823,-168.25,3352.2,90,,
166.823,-168.25,3352.4,90,,
166.823,-168.25,3352.6,90,,
166.823,-168.25,3352.8,90,,
166.823,-168.25,3353,90,,
166.823,-168.25,3353.2,90,,
166.823,-168.25,3353.4,90,,
166.823,-168.25,3353.6,90,,
166.823,-168.25,3353.8,90,,
166.823,-168.25,3354,90,,
166.823,-168.25,3354.2,90,,
166.823,-168.25,3354.4,90,,
166.823,-168.25,3354.6,90,,
166.823,-168.25,3354.8,90,,
166.823,-168.25,3355,90,,
166.823,-168.25,3355.2,90,,
166.823,-168.25,3355.4,90,,
166.823,-168.25,3355.6,90,,
166.823,-168.25,3355.8,90,,
166.823,-168.25,3356,90,,
166.823,-168.25,3356.2,90,,
166.823,-168.25,3356.4,90,,
166.823,-168.25,3356.6,90,,
166.823,-168.25,3356.8,90,,
166.823,-168.25,3357,90,,
166.823,-168.25,3357.2,90,,
166.823,-168.25,3357.4,90,,
